id_actif,actif,famille,groupe,site,zone,localisation,source,corrective_count,preventive_count,total_maintenance_count
1,Inclinomètre 1,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
2,Inclinomètre 2,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
3,Inclinomètre 3,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
4,Inclinomètre 4,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
5,Inclinomètre 5,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
6,Inclinomètre 6,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
7,Inclinomètre 7,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
8,Inclinomètre 8,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
9,Inclinomètre 9,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
10,Inclinomètre 10,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
11,Inclinomètre 11,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
12,Inclinomètre 12,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
13,Inclinomètre 13,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
14,Inclinomètre 14,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
15,Inclinomètre 15,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
16,Inclinomètre 16,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
17,Inclinomètre 17,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
18,Inclinomètre 18,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,"corrective, preventive",1,1,2
19,Inclinomètre 19,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
20,Inclinomètre 20,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
21,Inclinomètre 21,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
22,Inclinomètre 22,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
23,Inclinomètre 23,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
24,Inclinomètre 24,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
25,Inclinomètre 25,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
26,Inclinomètre 26,Equipement d'instrumentation,Clinomètre,TM2,TM02,DPC MED2,preventive,0,1,1
27,Joint-metre 1,Equipement d'instrumentation,Joint-metre,TM2,TM02,DPC MED2,preventive,0,1,1
28,Joint-metre 2,Equipement d'instrumentation,Joint-metre,TM2,TM02,DPC MED2,preventive,0,1,1
