portfolio,id_ordre_travail,id_demande,etat,motif_standby,anomalie,urgence,impact_disponibilite,vandalisme,palliative,avec_demande_pdr,est_reouvert,site,zone,famille,groupe,localisation,actif,demandeur,ot_fils,date_declaration,createur_ot,date_creation_ot,utilisateur_prestataire,date_debut_reparation,responsable_cloture,date_cloture,commentaire_cloture,responsable_reouverture,date_reouverture,commentaire_ouverture,validateur_travaux,date_validation,responsable_rejet,date_rejet,motif_rejet,prestataire,cout_maindoeuvre,cout_pdr,cout_bc,cout_total,description,plateforme_creation,plateforme_prestataire,plateforme_cloture,plateforme_rejet,plateforme_reouverture,plateforme_validation,nombre_main_doeuvre,duree_intervention_par_heure,id_actif,time_to_closure_hours,time_to_start_hours,num_spare_parts_requests,total_parts_quantity,total_parts_cost,parts_articles,parts_families,parts_request_status
equipement,15524,15650,OT Cloturé,,Alarme incendie ,Moyen,non,False,False,False,False,TM1,TMPC01,Equipement de protection contre incendie,Centrale de détection d'incendie,TMPC,Centrale incendie  TMPC SECTEUR 2,Matière   dangereuse ,Non,2025-03-31 23:30:00,Matière   dangereuse ,2025-03-31 23:30:00,SUP-TMU-EQ- 07,2025-04-20 16:04:00,SUP-TMU-EQ- 07,2025-04-20 16:05:00,La centrale a été réarmée.,,,,Chaymae Farah,2025-07-17 20:59:00,,,,TMU,0.0,0.0,0.0,0.0,La centrale d'incendie au niveau de secteur N°2 de TMPC affiche un message << alarme incendie >>,WEB,WEB,WEB,WEB,WEB,WEB,2,0.0,5694,472.5833333333333,472.56666666666666,0,0.0,0.0,,,
infrastructure,15523,15649,OT Cloturé,,Endommagement ,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Clôture,Clôture,Sas Import Clôture,Sas Import Clôture 152,animateur 02,Non,2025-03-31 03:27:00,animateur 02,2025-03-31 03:27:00,sup-nzala- 01,2025-04-16 16:19:00,sup-nzala- 01,2025-04-16 19:49:00,Remplacement d'un panneau de la clôture simple,,,,Soufiane chegdali,2025-05-02 23:18:00,,,,NZALA,539.14,0.0,0.0,539.14,,WEB,WEB,WEB,WEB,WEB,WEB,3,3.47,25331,400.3666666666667,396.8666666666667,0,0.0,0.0,,,
batiment,15522,15648,OT Cloturé,,Travaux de maintenance,Moyen,non,False,False,False,False,TM1,SAS IMPORT,Equipement lot archi / Menuiserie ,Cloison,Sanitaire Sas Import,Cloison ,animateur 02,Non,2025-03-31 03:24:00,animateur 02,2025-03-31 03:24:00,sup-tmu-bat- 05,2025-04-10 10:10:00,sup-tmu-bat- 05,2025-04-10 10:29:00,Fermeture la porte de Boîtier de compteur d'eau potable,,,,Soufiane chegdali,2025-05-02 23:19:00,,,,TMU,15.6,0.0,0.0,15.6,"Boîtier de compteur d'eau potable ouvert au niveau du local sanitaire situé au parking du nouveau véhicule, SAS IMPORT TM1.",WEB,WEB,WEB,WEB,WEB,WEB,1,0.3,163156,247.08333333333334,246.76666666666668,0,0.0,0.0,,,
equipement,15521,15647,OT Cloturé,,Luminaire éteint,Moyen,non,False,False,False,False,TM1,SAS EXPORT,Equipement Electrique,Candélabre,SAS EXPORT,Candélabre 230 ,animateur 02,Non,2025-03-31 03:21:00,animateur 02,2025-03-31 03:21:00,sup-tmu-eq- 04,2025-04-02 14:18:00,sup-tmu-eq- 04,2025-04-02 15:23:00,changement de disjoncteur de 10A,,,,Soufiane chegdali,2025-04-11 19:44:00,,,,TMU,1075.35,0.0,0.0,1075.35,Candélabre hors service au niveau de parking régulation SAS EXPORT TM1.,WEB,WEB,WEB,WEB,WEB,WEB,2,1.07,4719,60.03333333333333,58.95,0,0.0,0.0,,,
infrastructure,15520,15646,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,LO,Animateur 01,Non,2025-03-30 12:52:00,Animateur 01,2025-03-30 12:52:00,sup-nzala- 01,2025-04-08 21:08:00,sup-nzala- 01,2025-04-08 21:14:00,Réparation l'état du totem,,,,Said Touil,2025-04-10 17:01:00,,,,NZALA,19.32,0.0,0.0,19.32,"_x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05._x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05._x000d_
_x000d_
Chute d'un totem (n°09) au niveau du parking du quai 05.",WEB,WEB,WEB,WEB,WEB,WEB,4,0.09,42729,224.36666666666667,224.26666666666668,0,0.0,0.0,,,
infrastructure,15519,15645,OT Cloturé,,endommage,Moyen,non,True,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,TR,Animateur 01,Non,2025-03-30 12:46:00,Animateur 01,2025-03-30 12:46:00,sup-nzala- 01,2025-04-08 21:11:00,sup-nzala- 01,2025-04-08 21:14:00,Réparé,,,,Said Touil,2025-04-19 08:57:00,,,,NZALA,7.77,0.0,0.0,7.77,le panneau de signalisation des consignes de sécurité est endommagé à l'entrée de la zone de stockage import.,WEB,WEB,WEB,WEB,WEB,WEB,3,0.05,42630,224.46666666666667,224.41666666666666,0,0.0,0.0,,,
infrastructure,15518,15644,OT Realisé,,Brèche à la clôture ,Moyen,non,False,False,False,False,TM1,TM01,Clôture,Clôture,Canal Clôture,Canal Clôture 198,C3 -PRINCIPALE ,Non,2025-03-30 08:29:00,C3 -PRINCIPALE ,2025-03-30 08:29:00,sup-nzala- 01,2025-04-16 16:19:00,sup-nzala- 01,2025-04-16 16:54:00,Traité,,,,,,,,,NZALA,1255.39,0.0,0.0,1255.39,"Des brèches à la clôture du nouveau SAS Import, clôture séparant le SAS Import et parking utilisé pour les unités export (avant ZRE) ",WEB,WEB,WEB,WEB,WEB,WEB,3,8.08,24221,416.4166666666667,415.8333333333333,0,0.0,0.0,,,
infrastructure,15517,15643,OT Cloturé,,endommage,Moyen,non,False,False,False,False,PPR,PPR01,Voies de circulation,Panneaux de signalisation,PPR,CI,Animateur 01,Non,2025-03-30 05:24:00,Animateur 01,2025-03-30 05:24:00,sup-nzala- 01,2025-04-08 21:12:00,sup-nzala- 01,2025-04-08 21:19:00,La plaque a été réparée,,,,Said Touil,2025-04-18 13:31:00,,,,NZALA,18.64,0.0,0.0,18.64,Panneau de signalisation endommagé au quai 06 au TPR.,WEB,WEB,WEB,WEB,WEB,WEB,3,0.12,42633,231.91666666666666,231.8,0,0.0,0.0,,,
infrastructure,15516,15642,OT Rejeté,,Dégradation,Moyen,non,False,False,False,False,PPR,PPR01,Regard d'assainissement,Regard EU-EPL,PPR Regard EU-EPL,PPR Regard EU-EPL 186,Animateur 01,Non,2025-03-30 05:21:00,Animateur 01,2025-03-30 05:21:00,,,,,,,,,,,Said Touil,2025-10-21 16:52:00,traité par NZALA,TMU-HY,0.0,0.0,0.0,0.0,"Une grille caniveau à souder en face la rampe de quai 06 au TPR._x000d_
",WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,33102,,,0,0.0,0.0,,,
infrastructure,15515,15641,OT Crée,,Endommagement ,Moyen,non,False,False,False,False,TM1,TM01,Voies de circulation,Voie de roulement,Voirie,Voirie,animateur 02,Non,2025-03-29 21:50:00,animateur 02,2025-03-29 21:50:00,,,,,,,,,,,,,,CAMPEZO,0.0,0.0,0.0,0.0,"Morceau de fer d’un panneau de signalisation, tranchant, situé au niveau de la voie du parking L SAS EXPORT TM1.",WEB,WEB,WEB,WEB,WEB,WEB,0,0.0,535,,,0,0.0,0.0,,,
