numero_ot,portfolio,famille,groupe,site,zone,localisation,etage,salle,id_actif,actif,code_actif,numero_intervention,nom_intervention,frequence,date_debut_planifiee,date_fin_planifiee,entite,prestataire,etat,is_reopened,pourcentage,date_debut,date_fin,cout,motif_standby,date_cloture,responsable_cloture,id_responsable_cloture,date_validation,responsable_validation,id_responsable_validation,commentaire_cloture,date_reouverture,responsable_reouverture,id_responsable_rejet,commentaire_ouverture,responsable_rejet,motif_rejet,date_rejet,days_deviation_from_plan,intervention_duration_hours
9844,infrastructure,Bassin,Bassin,TM2,TM02,Bassin TM2,,,1930,Zone 8-1,Z8-1,1112,Visite preventive  bassin  (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Ouvert,Non,0.0,,,0.0,,,,,,,,,,,,,,,,,
9845,infrastructure,Bassin,Bassin,TM1,TM01,Bassin TM1,,,34624,Zone 11,Z11,1112,Visite preventive  bassin  (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Ouvert,Non,0.0,,,0.0,,,,,,,,,,,,,,,,,
9846,infrastructure,Bassin,Bassin,PPR,PPR01,Bassin PPR,,,34616,Zone 5,Z5,1112,Visite preventive  bassin  (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Ouvert,Non,0.0,,,0.0,,,,,,,,,,,,,,,,,
41928,equipement,"Equipement de sécurité, contôle et exploitation",Rampe mobile,PPR,PPR01,Poste N4,,,1955,Rampes Poste N4,ESC-R_Poste4,4420,Visite préventive Journalier   (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-03-31 08:59:40.000,2025-03-31 09:59:40.000,95.48,,2025-04-01 14:10:47.336,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,0.375,1.0
16443,equipement,"Equipement de sécurité, contôle et exploitation",Passerelle,PPR,PPR01,Poste N4,,,1961,Passerelle Double Poste 4,ESC-PAS_Poste4,2120,Visite Préventive Jornalier (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-03-31 09:59:40.000,2025-03-31 10:59:40.000,95.48,,2025-04-01 14:14:05.340,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,0.4166666666666667,1.0
16446,equipement,"Equipement de sécurité, contôle et exploitation",Passerelle,PPR,PPR01,Poste N6,,,1962,Passerelle Double Poste 6,ESC-PAS_Poste6,2120,Visite Préventive Jornalier (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-03-31 10:59:40.000,2025-03-31 11:59:40.000,95.48,,2025-04-01 14:15:54.033,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,0.4583333333333333,1.0
41924,equipement,"Equipement de sécurité, contôle et exploitation",Rampe mobile,PPR,PPR01,Poste N3,,,1954,Rampes Poste N3,ESC-R_Poste3,4420,Visite préventive Journalier   (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-03-31 08:59:40.000,2025-03-31 09:59:40.000,95.48,,2025-04-01 14:02:24.265,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,0.375,1.0
16445,equipement,"Equipement de sécurité, contôle et exploitation",Passerelle,PPR,PPR01,Poste N3,,,1960,Passerelle Simple Poste 3,ESC-PAS_Poste3,2120,Visite Préventive Jornalier (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-04-01 11:59:40.000,2025-04-01 12:59:40.000,95.48,,2025-01-10 18:04:20.875,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,1.5,1.0
16444,equipement,"Equipement de sécurité, contôle et exploitation",Passerelle,PPR,PPR01,Poste N1,,,1959,Passerelle Simple Poste 1,ESC-PAS_Poste1,2120,Visite Préventive Jornalier (Jour 31-03),J,2025-03-30 23:59:40,2025-03-30 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-04-01 11:59:40.000,2025-04-01 12:59:40.000,95.48,,2025-01-10 18:01:46.354,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,1.5,1.0
41920,equipement,"Equipement de sécurité, contôle et exploitation",Rampe mobile,PPR,PPR01,Poste N4,,,1955,Rampes Poste N4,ESC-R_Poste4,4416,Visite préventive Journalier   (Jour 30-03),J,2025-03-29 23:59:40,2025-03-29 23:59:40,TMPA,TMU,Réalisé,Non,100.0,2025-03-30 08:59:40.000,2025-03-30 09:59:40.000,95.48,,2025-04-01 13:31:37.699,SUP-TMU-EQ- 9,135.0,,,,,,,,,,,,0.375,1.0
