article,total_qty,total_cost,n_requests,famille,daily_demand,forecast_qty,forecast_cost
Lampe LED E27 15W  6500K,1454.0,363500.0,352,ELECTRICITE,1.5177453027139876,136.59707724425888,34149.26931106472
Peinture vinylique blanc 30KG,668.0,360720.0,203,PEINTURE,0.697286012526096,62.75574112734864,33888.100208768265
Abattant toilette anglaise standard et suspendu,140.0,294000.0,97,PLOMBERIE,0.14613778705636743,13.152400835073069,27620.041753653444
Spot LED GU10 7W 6500K,1446.0,281970.0,340,ELECTRICITE,1.5093945720250521,135.8455114822547,26489.874739039664
Ruban adhésif noire,432.0,280800.0,153,ELECTRICITE,0.4509394572025052,40.58455114822547,26379.958246346556
"Câble capotin 3G2,5",3606.0,270450.0,53,ELECTRICITE,3.7640918580375784,338.76826722338205,25407.620041753653
Robinet lavabo mitigeur,303.0,248460.0,200,PLOMBERIE,0.3162839248434238,28.465553235908143,23341.753653444677
Peinture laque 20 KG blanc,337.0,229160.0,149,PEINTURE,0.35177453027139877,31.65970772442589,21528.601252609606
Distributeur papier hygiénique Inox,269.0,228650.0,107,PLOMBERIE,0.2807933194154488,25.271398747390393,21480.688935281833
Distributeur savon liquide INOX,320.0,224000.0,198,PLOMBERIE,0.33402922755741127,30.062630480167016,21043.84133611691
Cylindre de serrure standard,694.0,208200.0,479,MENUISERIE,0.7244258872651357,65.1983298538622,19559.498956158663
Câble cuivre U1000 R2V 5G16mm2,1400.0,201600.0,3,ELECTRICITE,1.4613778705636744,131.5240083507307,18939.45720250522
CÂBLE D'ALIMENTATION BASSE TENSION 5G16mm2,1200.0,189239.99999999997,2,ELECTRICITE,1.2526096033402923,112.7348643006263,17778.288100208767
silicone,626.0,187800.0,148,DIVERS,0.6534446764091858,58.81002087682672,17643.006263048017
Moteur pour portail MR300/CR/MVF110,8.0,179200.0,8,ELECTROMECANIQUE,0.008350730688935281,0.7515657620041752,16835.073068893525
Poignée aluminium (pair),271.0,176150.0,169,MENUISERIE,0.2828810020876827,25.45929018789144,16548.538622129436
Fourniture de Carte cabine.,9.0,171000.0,2,ELECTRICITE,0.009394572025052192,0.8455114822546972,16064.718162839246
