famille,corr_count,corr_avg_cost,corr_total_cost,prev_count,prev_avg_cost,prev_total_cost,cost_ratio,intervention_ratio,effectiveness_score
Ouvrages de chargement et déchargement,5,0.0,0.0,426,563.3738262910798,239997.25,0.0,0.011737089201877934,197.6798143851508
Equipement d'instrumentation,2,0.0,0.0,130,86.31846153846153,11221.4,0.0,0.015384615384615385,196.96969696969697
Equipement Electrique,111,8737.928558558559,969910.0700000001,1733,232097.87177726487,402225611.79,0.03764760310660669,0.06405077899596076,181.53789026929888
Ouvrages d'arts,1,10377.12,10377.12,19,12351.55105263158,234679.47,0.8401471164051973,0.05263157894736842,105.66475652492814
Equipement de protection contre incendie,104,11719.966634615384,1218876.53,304,9037.336381578947,2747350.26,1.2968385971008578,0.34210526315789475,75.78789492717351
Ouvrages de protection,8,0.0,0.0,4,3317.3075,13269.23,0.0,2.0,66.66666666666667
Espace vert,18,15286.51888888889,275157.34,130,6941.380384615385,902379.4500000001,2.2022303982604607,0.13846153846153847,59.86783689975521
"Equipement de sécurité, contôle et exploitation",68,2365.685,160866.58,587,1037.2193696763204,608847.77,2.280795238849277,0.11584327086882454,58.881744238540904
Terre plein,115,10540.097391304347,1212111.2,78,6361.205256410257,496174.01,1.656934019018326,1.4743589743589745,48.41099392384211
Structure d'ombrage,13,7838.058461538462,101894.76000000001,61,2472.7657377049177,150838.71,3.1697537465936048,0.21311475409836064,45.632215515574806
Equipement climatisation et VMC,39,3388.1751282051277,132138.83,2034,640.8353785644051,1303459.16,5.2871224678564,0.019174041297935103,31.714334984039578
Ouvrages d'amarrage et d'accostage,66,918.5863636363636,60626.7,1245,140.71215261044176,175186.63,6.528123879814759,0.05301204819277108,26.38127081472392
Equipements climatisation ,1,2004.75,2004.75,25,182.76,4569.0,10.969304005252791,0.04,16.65375444842776
Equipement électrique,75,2716.354933333333,203726.62,937,242.25221985058695,226990.33,11.212920711350714,0.08004268943436499,16.269470060183146
Equipement  de levage,6,8284.011666666667,49704.07,74,469.66729729729735,34755.380000000005,17.638042321313513,0.08108108108108109,10.684260993461667
Equipement de signalisation,8,91.52375,732.19,10,5.002,50.019999999999996,18.297431027588967,0.8,9.951520655821524
Equipement de balisage maritime,5,1290.768,6453.84,33,55.120000000000005,1818.96,23.41741654571843,0.15151515151515152,8.140362082675317
Voies de circulation,169,38613.19414201183,6525629.81,444,1460.3690765765766,648403.87,26.440709243535597,0.38063063063063063,7.1887263843001294
Regard d'assainissement,88,6409.722386363637,564055.5700000001,408,114.55882352941177,46740.0,55.951363578013776,0.21568627450980393,3.498518823622157
Equipement éclairage,263,6283.062015209126,1652445.31,3,108.33,324.99,57.99928011824173,87.66666666666667,1.3636430567847366
Equipement météorologique et hydrographique,4,17829.37,71317.48,3,86.66333333333334,259.99,205.73141274664408,1.3333333333333333,0.9612392477249488
Equipement plomberie et sanitaire,310,6085.928677419355,1886637.8900000001,26,18.42,478.9200000000001,330.3978652236349,11.923076923076923,0.5825452963907274
