article,total_cost,total_quantity,request_count,cumulative_cost,cumulative_pct
Lampe LED E27 15W  6500K,363500.0,1454.0,352,363500.0,2.7179789813548503
Peinture vinylique blanc 30KG,360720.0,668.0,203,724220.0,5.415171218368115
Abattant toilette anglaise standard et suspendu,294000.0,140.0,97,1018220.0,7.613481591183316
Spot LED GU10 7W 6500K,281970.0,1446.0,340,1300190.0,9.721840692621079
Ruban adhésif noire,280800.0,432.0,153,1580990.0,11.821451416044578
"Câble capotin 3G2,5",270450.0,3606.0,53,1851440.0,13.843672641649585
Robinet lavabo mitigeur,248460.0,303.0,200,2099900.0,15.70146922406341
Peinture laque 20 KG blanc,229160.0,337.0,149,2329060.0,17.4149549554727
Distributeur papier hygiénique Inox,228650.0,269.0,107,2557710.0,19.124627291337315
Distributeur savon liquide INOX,224000.0,320.0,198,2781710.0,20.79953043252985
Cylindre de serrure standard,208200.0,694.0,479,2989910.0,22.35629308429898
Câble cuivre U1000 R2V 5G16mm2,201600.0,1400.0,3,3191510.0,23.863705911372264
CÂBLE D'ALIMENTATION BASSE TENSION 5G16mm2,189239.99999999997,1200.0,2,3380750.0,25.278699975833312
silicone,187800.0,626.0,148,3568550.0,26.68292680581527
Moteur pour portail MR300/CR/MVF110,179200.0,8.0,8,3747750.0,28.0228493187693
Poignée aluminium (pair),176150.0,271.0,169,3923900.0,29.339966230916907
Fourniture de Carte cabine.,171000.0,9.0,2,4094900.0,30.618575325309422
Peinture de traçage blanc 25KG,161700.0,147.0,23,4256600.0,31.827646030357787
Drapeau Maroc,158400.0,132.0,65,4415000.0,33.01204182305822
centrale ESSER IQ8 CONTROL μ avec UGA en coffret,155250.0,3.0,3,4570250.0,34.17288429033564
Tube LED (T8) 18W 6500K	,139560.0,1163.0,86,4709810.0,35.216408765267914
Tableau de commande d'ascenseur OTIS,132000.0,106.0,7,4841810.0,36.20340525918495
Tube LED (T8) 9W 6500K,131760.0,1098.0,128,4973570.0,37.18860721402212
Manomètre de circuit de refroidissement 16 BAR (similaire à l'existant),131454.0,202.0,3,5105024.0,38.1715211315325
Luminaire Panel LED 40w 60X60 blanche IP45,130245.0,457.0,57,5235269.0,39.14539505842813
ATS sans coupure,127823.0,17.0,14,5363092.0,40.101159095109615
huile hydraulique 46,124820.0,3160.0,9,5487912.0,41.034468961554495
Luminaire Panel LED 40w 120X30 blanche IP45,114510.0,347.0,23,5602422.0,41.890688420027516
Mécanisme chasse d'eau pour WC standard et suspendu,109900.0,157.0,109,5712322.0,42.712437773675106
pompe de circulation d'eau primaire,108000.0,9.0,4,5820322.0,43.51998035960722
Fourniture de fontaine d'eau en inox avec grilles,100000.0,10.0,8,5920322.0,44.26770497621103
Vase d'expansion,100000.0,4.0,4,6020322.0,45.01542959281484
Flexible 60CM,98000.0,245.0,115,6118322.0,45.74819971708657
Cheville plastique Ø08,97075.0,1248.0,37,6215397.0,46.474053388654724
Opérateur de porte ascenseur OTIS,96000.0,12.0,7,6311397.0,47.19186902059438
Capteur numérique de marque Precia CDL de 30 Tonnes,88000.0,8.0,1,6399397.0,47.84986668320573
Chauffeau électrique 30L,87500.0,25.0,22,6486897.0,48.50412572273407
Vérins télescopiques standards simple effet,83300.0,7.0,3,6570197.0,49.126980328365036
capteur météorologique compat,82000.0,2.0,2,6652197.0,49.74011451398017
Armature LED d'éclairage industriel,80750.0,85.0,7,6732947.0,50.34390214188774
Terminal de commande ProDialog,79200.0,4.0,3,6812147.0,50.93610003823797
Capteur numérique de marque Giropes de 50 Tonnes ,76000.0,8.0,1,6888147.0,51.50437074685685
Spot D'éclairage de cabinet d'ascenseur,72300.0,4.0,4,6960447.0,52.044975644661406
Onduleur 6 KVA,69420.0,6.0,5,7029867.0,52.564046073507775
Cheville plastique Ø 12,68880.0,861.0,42,7098747.0,53.079078789424486
compresseur scroll DANFOSS SH300A4ACB,66000.0,1.0,1,7164747.0,53.572577036382995
Climatiseur Type armoire de capacité frigorifique 48000 BTU/h,63840.0,3.0,2,7228587.0,54.04992443162286
POIGNEE PORTE BOIS WC,63705.0,137.0,49,7292292.0,54.52626239863032
Cheville plastique Ø10,63200.0,986.0,41,7355492.0,54.99882435632393
Serrure porte en bois,62160.0,148.0,48,7417652.0,55.463609978004854
Tube gorge Gris D40,61950.0,2065.0,21,7479602.0,55.926825377990916
Onduleur 3 KVA,60950.0,10.0,9,7540552.0,56.382563531810945
ABATTANT TOILETTE ANGLAISE MEDHUB,60900.0,29.0,11,7601452.0,56.837927823322666
Robinet de Service,60800.0,380.0,208,7662252.0,57.292544390217785
Robinet douche mitigeur avec accessoires,60520.0,89.0,30,7722772.0,57.74506732818641
